sampno,source,decision_maker_1,decision_maker_2,decision_maker_3,org_type_1,org_type_2,org_type_3,org_type_4,org_type_5,org_type_6,org_type_7,org_type_8,county,region,naics,business_type,title,cal_locations,loc_amnt,employee_num,vtype_1,vtype_2,vtype_3,vtype_4,vtype_5,car_ftype_1,car_ftype_2,car_ftype_3,car_ftype_4,car_ftype_5,car_ftype_6,car_ftype_7,car_ftype_8,car_ftype_9,car_ftype_9_x,suv_x_ftype_1,suv_x_ftype_2,suv_x_ftype_3,suv_x_ftype_4,suv_x_ftype_5,suv_x_ftype_6,suv_x_ftype_7,suv_x_ftype_8,suv_x_ftype_9,suv_x_ftype_9_x,van_ftype_1,van_ftype_2,van_ftype_3,van_ftype_4,van_ftype_5,van_ftype_6,van_ftype_7,van_ftype_8,van_ftype_9,van_ftype_9_x,truck_ftype_1,truck_ftype_2,truck_ftype_3,truck_ftype_4,truck_ftype_5,truck_ftype_6,truck_ftype_7,truck_ftype_8,truck_ftype_9,truck_ftype_9_x,num_gas_cars,num_hev_cars,num_flex_cars,num_pev_cars,num_diesel_cars,num_cng_cars,num_bev_cars,num_fcev_cars,num_other_cars,num_gas_suv_xover,num_hev_suv_xover,num_flex_suv_xover,num_pev_suv_xover,num_diesel_suv_xover,num_cng_suv_xover,num_bev_suv_xover,num_fcev_suv_xover,num_other_suv_xover,num_gas_vans,num_hev_vans,num_flex_vans,num_pev_vans,num_diesel_vans,num_cng_vans,num_bev_vans,num_fcev_vans,num_other_vans,num_gas_trucks,num_hev_trucks,num_flex_trucks,num_pev_trucks,num_diesel_trucks,num_cng_trucks,num_bev_trucks,num_fcev_trucks,num_other_trucks,num_gas_vehicles,num_hev_vehicles,num_flex_vehicles,num_pev_vehicles,num_diesel_vehicles,num_cng_vehicles,num_bev_vehicles,num_fcev_vehicles,num_other_fuel_vehicles,num_cars,num_suv_crossovers,num_vans,num_trucks,num_business_vehicles,fleet_personal,num_personal_vehicles,total_num_vehicles,total_num_vehicles_ihs,fleet_mpg_1,fleet_mpg_2,fleet_mpg_3,fleet_mpg_4,refueling_parking_1,refueling_parking_2,refueling_parking_3,refueling_infrastructure,refueling_types_1_1,refueling_types_2_1,refueling_types_3_1,refueling_types_4_1,refueling_types_5_1,refueling_types_6_1,refueling_types_7_1,refueling_types_8_1,refueling_types_1_2,refueling_types_2_2,refueling_types_3_2,refueling_types_4_2,refueling_types_5_2,refueling_types_6_2,refueling_types_7_2,refueling_types_8_2,refueling_possible,refueling_future_1,refueling_future_2,refueling_future_3,refueling_future_4,refueling_future_5,refueling_future_6,refueling_future_7,refueling_future_8,refueling_future_9,flag_hev,flag_phev,flag_bev,flag_fcev,hybrid_experience,past_hybrid,phev_experience,past_phev,phev_consideration,phev_concerns_1,phev_concerns_2,phev_concerns_3,phev_concerns_4,phev_concerns_5,phev_concerns_6,phev_concerns_7,phev_concerns_8,phev_concerns_9,phev_concerns_10,phev_concerns_11,phev_concerns_12,phev_concerns_13,phev_concerns_14,phev_concerns_12_x,bev_experience,past_bev,bev_consideration,bev_concerns_1,bev_concerns_2,bev_concerns_3,bev_concerns_4,bev_concerns_5,bev_concerns_6,bev_concerns_7,bev_concerns_8,bev_concerns_9,bev_concerns_10,bev_concerns_11,bev_concerns_12,bev_concerns_13,bev_concerns_14,bev_concerns_15,bev_concerns_16,bev_concerns_14_x,fcev_experience,past_fcev,fcev_consideration,fcev_concerns_1,fcev_concerns_2,fcev_concerns_3,fcev_concerns_4,fcev_concerns_5,fcev_concerns_6,fcev_concerns_7,fcev_concerns_8,fcev_concerns_9,fcev_concerns_10,fcev_concerns_11,fcev_concerns_12,fcev_concerns_13,fcev_concerns_11_x,charge_spots,fcev_station_awareness,replacement,replacement_vehicle,purchase_timing,mpg_replace,vehicletype_consideration_1,vehicletype_consideration_2,vehicletype_consideration_3,vehicletype_consideration_4,vehicletype_consideration_5,vehicletype_consideration_6,vehicletype_consideration_7,vehicletype_consideration_8,vehicletype_consideration_9,vehicletype_consideration_10,vehicletype_consideration_11,vehicletype_consideration_12,vehicletype_consideration_13,fueltype_consideration_1_1,fueltype_consideration_2_1,fueltype_consideration_3_1,fueltype_consideration_4_1,fueltype_consideration_5_1,fueltype_consideration_6_1,fueltype_consideration_7_1,fueltype_consideration_8_1,fueltype_consideration_9_1,fueltype_consideration_10_1,fueltype_consideration_11_1,fueltype_consideration_12_1,fueltype_consideration_13_1,fueltype_consideration_1_2,fueltype_consideration_2_2,fueltype_consideration_3_2,fueltype_consideration_4_2,fueltype_consideration_5_2,fueltype_consideration_6_2,fueltype_consideration_7_2,fueltype_consideration_8_2,fueltype_consideration_9_2,fueltype_consideration_10_2,fueltype_consideration_11_2,fueltype_consideration_12_2,fueltype_consideration_13_2,fueltype_consideration_1_3,fueltype_consideration_2_3,fueltype_consideration_3_3,fueltype_consideration_4_3,fueltype_consideration_5_3,fueltype_consideration_6_3,fueltype_consideration_7_3,fueltype_consideration_8_3,fueltype_consideration_9_3,fueltype_consideration_10_3,fueltype_consideration_11_3,fueltype_consideration_12_3,fueltype_consideration_13_3,fueltype_consideration_1_4,fueltype_consideration_2_4,fueltype_consideration_3_4,fueltype_consideration_4_4,fueltype_consideration_5_4,fueltype_consideration_6_4,fueltype_consideration_7_4,fueltype_consideration_8_4,fueltype_consideration_9_4,fueltype_consideration_10_4,fueltype_consideration_11_4,fueltype_consideration_12_4,fueltype_consideration_13_4,fueltype_consideration_1_5,fueltype_consideration_2_5,fueltype_consideration_3_5,fueltype_consideration_4_5,fueltype_consideration_5_5,fueltype_consideration_6_5,fueltype_consideration_7_5,fueltype_consideration_8_5,fueltype_consideration_9_5,fueltype_consideration_10_5,fueltype_consideration_11_5,fueltype_consideration_12_5,fueltype_consideration_13_5,fueltype_consideration_1_6,fueltype_consideration_2_6,fueltype_consideration_3_6,fueltype_consideration_4_6,fueltype_consideration_5_6,fueltype_consideration_6_6,fueltype_consideration_7_6,fueltype_consideration_8_6,fueltype_consideration_9_6,fueltype_consideration_10_6,fueltype_consideration_11_6,fueltype_consideration_12_6,fueltype_consideration_13_6,fueltype_consideration_1_7,fueltype_consideration_2_7,fueltype_consideration_3_7,fueltype_consideration_4_7,fueltype_consideration_5_7,fueltype_consideration_6_7,fueltype_consideration_7_7,fueltype_consideration_8_7,fueltype_consideration_9_7,fueltype_consideration_10_7,fueltype_consideration_11_7,fueltype_consideration_12_7,fueltype_consideration_13_7,fueltype_consideration_1_8,fueltype_consideration_2_8,fueltype_consideration_3_8,fueltype_consideration_4_8,fueltype_consideration_5_8,fueltype_consideration_6_8,fueltype_consideration_7_8,fueltype_consideration_8_8,fueltype_consideration_9_8,fueltype_consideration_10_8,fueltype_consideration_11_8,fueltype_consideration_12_8,fueltype_consideration_13_8,consideration_1,consideration_2,consideration_3,consideration_4,consideration_5,consideration_6,consideration_7,consideration_8,consideration_9,consideration_10,consideration_11,consideration_12,consideration_13,consideration_14,consideration_15,consideration_16,consideration_17,consideration_18,consideration_19,consideration_20,consideration_21,consideration_22,consideration_23,consideration_24,consideration_25,consideration_26,consideration_27,consideration_28,consideration_29,consideration_30,consideration_31,consideration_32,consideration_33,consideration_34,consideration_35,consideration_36,consideration_37,consideration_38,consideration_39,consideration_40,consideration_41,consideration_42,consideration_43,consideration_44,consideration_45,consideration_46,consideration_47,consideration_48,consideration_49,consideration_50,consideration_51,consideration_52,consideration_53,consideration_54,consideration_55,consideration_56,consideration_57,consideration_58,consideration_59,consideration_60,consideration_61,consideration_62,consideration_63,consideration_64,consideration_65,consideration_66,consideration_67,consideration_68,consideration_69,consideration_70,consideration_71,consideration_72,consideration_73,consideration_74,consideration_75,consideration_76,consideration_77,consideration_78,consideration_79,consideration_80,consideration_81,consideration_82,consideration_83,consideration_84,consideration_85,consideration_86,consideration_87,consideration_88,consideration_89,consideration_90,consideration_91,consideration_92,consideration_93,consideration_94,consideration_95,consideration_96,consideration_97,consideration_98,consideration_99,consideration_100,consideration_101,consideration_102,consideration_103,consideration_104
192197,5,1,0,0,0,0,1,0,0,0,0,0,26,3,72,,Sales assistant,1,1,19,1,0,1,1,0,1,0,0,0,0,0,0,0,0, , , , , , , , , , , ,1,0,0,0,0,0,0,0,0, ,1,0,0,0,0,0,0,0,0, ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,2,4,2, ,4,2, , , , ,1,0,0,2, , , , , , , , , , , , , , , , ,2, , , , , , , , , ,0,0,0,0,2,3,2,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0, ,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, ,2,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0, ,3,2,2, ,2, ,0,0,0,0,0,0,0,0,0,0,1,1,1, , , , , , , , , , ,0,0,0, , , , , , , , , , ,0,0,0, , , , , , , , , , ,1,1,1, , , , , , , , , , ,0,0,0, , , , , , , , , , ,0,0,0, , , , , , , , , , ,0,0,0, , , , , , , , , , ,0,0,0, , , , , , , , , , ,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,2, , , , , , , ,2, , , , , 
191535,5,1,1,0,0,0,0,0,0,0,1,0,42,3,11,,Controller,4,1,31,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2, , , , ,1,0,0,2, , , , , , , , , , , , , , , , ,2, , , , , , , , , ,0,0,0,0,2,5,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1, ,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, ,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1, ,2,2,1,41,3,15,0,0,0,0,0,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,1, , , , , , , , , , , , ,0, , , , , , , , , , , , ,0, , , , , , , , , , , , ,0, , , , , , , , , , , , ,0, , , , , , , , , , , , ,0, , , , , , , , , , , , ,0, , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , , 
192207,5,1,1,0,0,0,1,0,0,0,0,0,27,3,23,,Office Manager,1,1,10,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,0,0, , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,3, , , , ,1,0,0,2, , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,5,2,5,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0, ,2,5,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0, ,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1, ,4,3,3, , , ,0,0,0,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , ,1, , , , , , , , , , , , ,0, , , , , , , , , , , , ,1, , , , , , , , , , , , ,0, , , , , , , , , , , , ,0, , , , , , , , , , , , ,0, , , , , , , , , , , , ,1, , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,3, , , ,3, , , , , , , , , , , , , , , , , 
192259,5,1,1,0,0,0,0,0,0,0,1,0,27,3,23,,Sec-Treas,1,1,3,0,0,1,1,0, , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,0,0, ,0,0,0,0,1,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,2,3,2, ,3,3, , , , ,1,0,0,2, , , , , , , , , , , , , , , , ,2, , , , , , , , , ,0,0,0,0,1, ,2,1,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0, ,2,5,2,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0, ,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1, ,1,2,3, , , ,0,0,0,0,0,0,0,0,0,0,1,0,1, , , , , , , , , , ,1, ,0, , , , , , , , , , ,0, ,0, , , , , , , , , , ,0, ,0, , , , , , , , , , ,0, ,1, , , , , , , , , , ,0, ,0, , , , , , , , , , ,0, ,0, , , , , , , , , , ,0, ,0, , , , , , , , , , ,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,1, , , , , , , , , , , ,1, , , , 
191097,5,1,0,0,0,0,1,0,0,0,0,0,27,3,23,,Business owner,1,1,4,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2, ,1,3, , , , ,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,2,4,2,4,3,1,0,1,0,0,0,1,1,1,0,0,0,0,0, ,2,4,2,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0, ,2,5,2,0,0,1,0,0,0,1,1,0,0,0,0,0, ,3,2,3, , , ,0,0,0,0,0,0,0,0,0,0,0,1,1, , , , , , , , , , , ,1,1, , , , , , , , , , , ,1,1, , , , , , , , , , , ,1,1, , , , , , , , , , , ,0,0, , , , , , , , , , , ,0,0, , , , , , , , , , , ,0,0, , , , , , , , , , , ,0,0, , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1, , , , , ,1,2,3, , , , , 
191888,5,1,1,0,0,0,1,0,0,0,0,0,40,3,11,,President,1,1,9,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2, ,2,3, , , , ,1,0,0,2, , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,5,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1, ,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, ,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1, ,4,2,2, ,3, ,0,0,0,0,0,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,1, , , , , , , , , , , , ,0, , , , , , , , , , , , ,0, , , , , , , , , , , , ,0, , , , , , , , , , , , ,0, , , , , , , , , , , , ,0, , , , , , , , , , , , ,0, , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , 
191424,5,1,1,0,0,0,0,0,0,0,1,0,40,3,54,,Controller,1,1,13,1,1,1,1,0,1,0,0,0,0,0,0,0,0, ,1,0,0,0,0,0,0,0,0, ,1,0,0,0,0,0,0,0,0, ,1,0,0,0,0,0,0,0,0, ,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,1,1,2,6,2, ,6,4,30,20,20,18,1,0,0,2, , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1, ,2,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,vehicle range,2,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0, ,2,5,2,1,0,1,0,0,0,0,1,0,0,1,0,0,"range, refueling on road",4,2,1,21,1,20,0,0,1,0,0,0,0,0,1,0,1,0,1, , ,1, , , , , ,1, ,1, ,1, , ,1, , , , , ,1, ,1, ,1, , ,1, , , , , ,1, ,1, ,1, , ,1, , , , , ,1, ,1, ,1, , ,1, , , , , ,1, ,1, ,1, , ,1, , , , , ,1, ,1, ,1, , ,1, , , , , ,1, ,1, ,1, , ,1, , , , , ,1, ,1, ,1, , , , , , , , , , , , , , , , ,4,4,4,4,4,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,4,4,4,4,4,4, , , , , , , , ,1,1,1,1,1,1,1,1, , , , , , , , ,1,1,1,1,1,1,1,1
190449,5,1,1,0,0,0,1,0,0,0,0,0,40,3,23,,Administrator/Bookkeeper,1,1,35,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,1,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,11,11,2, ,11,4, , , ,13,1,0,0,2, , , , , , , , , , , , , , , , ,3, , , , , , , , , ,0,0,0,0,2,5,2,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,2,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,2,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0, ,1,2,1,45,1,15,0,0,0,0,0,0,0,0,0,0,0,1,1, , , , , , , , , , , ,1,1, , , , , , , , , , , ,0,0, , , , , , , , , , , ,0,0, , , , , , , , , , , ,1,1, , , , , , , , , , , ,0,0, , , , , , , , , , , ,0,0, , , , , , , , , , , ,0,0, , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , ,3, , , , ,3, , ,3, , , , 
191511,5,1,1,0,0,0,1,0,0,0,0,0,40,3,53,,president,2,2,9,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,1,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,2, ,4,5, , , , ,1,1,0,2, , , , , , , , , , , , , , , , ,2, , , , , , , , , ,0,0,0,0,2,5,2,5,2,1,0,1,0,1,0,1,0,0,1,0,0,0,0, ,2,5,2,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0, ,2,5,2,1,0,0,0,0,1,1,1,1,0,0,0,0, ,4,2,1,45,1,15,0,0,0,0,0,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,1, , , , , , , , , , , , ,0, , , , , , , , , , , , ,0, , , , , , , , , , , , ,1, , , , , , , , , , , , ,0, , , , , , , , , , , , ,0, , , , , , , , , , , , ,0, , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,1, , , , 
192199,5,1,1,0,0,0,0,0,0,0,1,0,42,3,23,,CONTROLLER,1,1,230,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,1,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,8,8,2, ,8,5, , , ,22,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,2,2,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1, ,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, ,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1, ,1,2,1,41,2,20,0,0,0,0,0,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,1, , , , , , , , , , , , ,1, , , , , , , , , , , , ,1, , , , , , , , , , , , ,1, , , , , , , , , , , , ,0, , , , , , , , , , , , ,0, , , , , , , , , , , , ,0, , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1, , , , 
192138,5,1,0,0,0,0,1,0,0,0,0,0,40,3,56,,office mgr,1,1,10,1,0,1,1,0,1,0,0,0,0,0,0,0,0, , , , , , , , , , , ,1,0,0,0,0,0,0,0,0, ,1,0,0,0,0,0,0,0,0, ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,2,6,10,2, ,10,5,25, ,20,15,1,0,0,2, , , , , , , , , , , , , , , , ,3, , , , , , , , , ,0,0,0,0,2,2,2,5,3,1,0,0,1,0,0,1,1,1,0,0,0,0,0, ,2,5,3,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0, ,2,5,3,1,1,1,0,1,0,0,1,0,0,0,0,0, ,3,3,3, , , ,0,0,0,0,0,0,0,0,0,0,1,0,1, , , , , , , , , , ,1, ,1, , , , , , , , , , ,0, ,0, , , , , , , , , , ,0, ,0, , , , , , , , , , ,0, ,0, , , , , , , , , , ,0, ,0, , , , , , , , , , ,0, ,0, , , , , , , , , , ,0, ,0, , , , , , , , , , ,0, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , , , , , , , , , , ,3, , , , , , , 
190378,5,1,1,0,0,0,0,0,0,0,1,0,40,3,54,,Operations Manager,1,1,5,0,1,0,1,0, , , , , , , , , , ,1,0,0,0,0,0,0,0,0, , , , , , , , , , , ,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,2,4,2, ,4,6, , , , ,0,1,0,2, , , , , , , , , , , , , , , , ,2, , , , , , , , , ,0,0,0,0,2,1,2,2,2,1,0,0,0,1,0,1,1,0,0,0,0,0,0, ,2,2,2,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0, ,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1, ,3,2,1,21,2,22,0,0,0,0,0,0,0,0,0,0,0,1,1, , , , , , , , , , , ,1,1, , , , , , , , , , , ,1,1, , , , , , , , , , , ,0,0, , , , , , , , , , , ,1,1, , , , , , , , , , , ,0,0, , , , , , , , , , , ,0,0, , , , , , , , , , , ,0,0, , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, ,3, , , ,3,3,3, ,3, , , ,3
190512,5,1,0,0,0,0,0,0,0,0,1,0,27,3,23,,Office Manager,1,1,20,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2, ,2,6, , , , ,1,0,0,2, , , , , , , , , , , , , , , , ,2, , , , , , , , , ,0,0,0,0,2,5,2,5,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0, ,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, ,2,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0, ,3,3,3, , , ,0,0,0,0,0,0,0,0,0,0,0,1,0, , , , , , , , , , , ,1, , , , , , , , , , , , ,0, , , , , , , , , , , , ,0, , , , , , , , , , , , ,0, , , , , , , , , , , , ,0, , , , , , , , , , , , ,0, , , , , , , , , , , , ,0, , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , 
191858,5,1,1,0,0,0,1,0,0,0,0,0,27,3,11,,Equipment Manager,1,1,100,0,1,0,1,0, , , , , , , , , , ,0,0,1,0,0,0,0,0,0, , , , , , , , , , , ,1,0,0,0,1,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,30,0,0,0,0,6,0,4,0,30,0,0,0,0,0,4,0,36,40,2, ,40,52, ,20, ,16,1,0,0,1,1,1,0,0,1,1,0,0, , , , , , , , , ,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,1,2,1,0,1,0,1,0,0,1,1,0,0,0,0,0, ,2,2,2,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0, ,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1, ,1,2,2, ,2, ,0,0,0,0,0,0,0,0,1,0,0,0,1, , , , , , , , ,1, , , ,1, , , , , , , , ,0, , , ,0, , , , , , , , ,0, , , ,0, , , , , , , , ,1, , , ,1, , , , , , , , ,0, , , ,0, , , , , , , , ,0, , , ,0, , , , , , , , ,0, , , ,0, , , , , , , , ,1, , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,1, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,1, , , , 
